gene_name	gene_id	FTP_URL
ARF5	ENSG00000004059	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000004059_id.parquet
SARM1	ENSG00000004139	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000004139_id.parquet
POLDIP2	ENSG00000004142	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000004142_id.parquet
PLXND1	ENSG00000004399	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000004399_id.parquet
AK2	ENSG00000004455	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000004455_id.parquet
CD38	ENSG00000004468	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000004468_id.parquet
FKBP4	ENSG00000004478	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000004478_id.parquet
KDM1A	ENSG00000004487	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000004487_id.parquet
RBM6	ENSG00000004534	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000004534_id.parquet
CAMKK1	ENSG00000004660	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000004660_id.parquet
RECQL	ENSG00000004700	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000004700_id.parquet
VPS50	ENSG00000004766	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000004766_id.parquet
HSPB6	ENSG00000004776	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000004776_id.parquet
ARHGAP33	ENSG00000004777	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000004777_id.parquet
NDUFAB1	ENSG00000004779	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000004779_id.parquet
ZMYND10	ENSG00000004838	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000004838_id.parquet
SLC25A13	ENSG00000004864	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000004864_id.parquet
ST7	ENSG00000004866	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000004866_id.parquet
CDC27	ENSG00000004897	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000004897_id.parquet
DVL2	ENSG00000004975	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000004975_id.parquet
UPF1	ENSG00000005007	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000005007_id.parquet
SKAP2	ENSG00000005020	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000005020_id.parquet
MCUB	ENSG00000005059	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000005059_id.parquet
POLR2J	ENSG00000005075	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000005075_id.parquet
DHX33	ENSG00000005100	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000005100_id.parquet
MEOX1	ENSG00000005102	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000005102_id.parquet
LIG3	ENSG00000005156	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000005156_id.parquet
RPAP3	ENSG00000005175	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000005175_id.parquet
ACSM3	ENSG00000005187	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000005187_id.parquet
REXO5	ENSG00000005189	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000005189_id.parquet
CIAPIN1	ENSG00000005194	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000005194_id.parquet
SPPL2B	ENSG00000005206	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000005206_id.parquet
FAM214B	ENSG00000005238	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000005238_id.parquet
COPZ2	ENSG00000005243	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000005243_id.parquet
PRKAR2B	ENSG00000005249	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000005249_id.parquet
CREBBP	ENSG00000005339	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000005339_id.parquet
TSPOAP1	ENSG00000005379	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000005379_id.parquet
GCFC2	ENSG00000005436	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000005436_id.parquet
WDR54	ENSG00000005448	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000005448_id.parquet
CROT	ENSG00000005469	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000005469_id.parquet
ABCB4	ENSG00000005471	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000005471_id.parquet
KMT2E	ENSG00000005483	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000005483_id.parquet
RHBDD2	ENSG00000005486	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000005486_id.parquet
IBTK	ENSG00000005700	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000005700_id.parquet
ZNF195	ENSG00000005801	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000005801_id.parquet
MYCBP2	ENSG00000005810	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000005810_id.parquet
FBXL3	ENSG00000005812	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000005812_id.parquet
ITGAL	ENSG00000005844	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000005844_id.parquet
PDK2	ENSG00000005882	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000005882_id.parquet
ITGA3	ENSG00000005884	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000005884_id.parquet
ITGA2B	ENSG00000005961	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000005961_id.parquet
GDE1	ENSG00000006007	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000006007_id.parquet
REX1BD	ENSG00000006015	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000006015_id.parquet
CRLF1	ENSG00000006016	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000006016_id.parquet
AC003665.1	ENSG00000006025	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000006025_id.parquet
MAP3K14	ENSG00000006062	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000006062_id.parquet
TMEM132A	ENSG00000006118	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000006118_id.parquet
AP2B1	ENSG00000006125	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000006125_id.parquet
ZNF263	ENSG00000006194	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000006194_id.parquet
CX3CL1	ENSG00000006210	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000006210_id.parquet
SPATA20	ENSG00000006282	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000006282_id.parquet
TNFRSF12A	ENSG00000006327	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000006327_id.parquet
MAP3K9	ENSG00000006432	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000006432_id.parquet
RALA	ENSG00000006451	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000006451_id.parquet
BAIAP2L1	ENSG00000006453	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000006453_id.parquet
KDM7A	ENSG00000006459	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000006459_id.parquet
